Wafer,Priority,Machine,Start Time,End Time
W_JDEBMU,0.5,M_A,0,60.0
W_TEHMZG,0.5,M_A,60.0,120.0
W_LUJPGL,0.5,M_A,120.0,180.0
W_DDLADL,0.5,M_A,180.0,240.0
W_VAXNUW,0.5,M_A,240.0,300.0
W_YNQGZR,0.5,M_A,300.0,360.0
W_TFRGHK,0.5,M_A,360.0,420.0
W_JIMMAO,0.5,M_A,420.0,480.0
W_PROAWK,0.5,M_A,480.0,540.0
W_JDJWXT,0.5,M_A,540.0,600.0
W_TGWAFT,0.5,M_A,600.0,660.0
W_WCOQOR,0.5,M_A,660.0,720.0
W_XFFOQJ,0.1,M_A,720.0,780.0
W_YSREAD,0.1,M_A,780.0,840.0
W_OUEBHW,0.1,M_A,840.0,900.0
W_VINQHQ,0.1,M_A,900.0,960.0
W_RGAYDC,0.1,M_A,960.0,1020.0
W_PDPQPP,0.1,M_A,1020.0,1080.0
W_NQKXKP,0.1,M_A,1080.0,1140.0
W_GWKLEP,0.1,M_A,1140.0,1200.0
W_GKPQOA,0.5,M_B,0,120.0
W_MKYFKQ,0.1,M_B,120.0,240.0
W_JQSJGL,0.1,M_B,240.0,360.0
W_WONMTS,1.0,M_C,0,30.0
W_OMLMPZ,0.5,M_C,30.0,60.0
W_JEDLVC,0.5,M_C,60.0,90.0
W_VBPEDX,0.5,M_C,90.0,120.0
W_VLBIAJ,0.5,M_C,120.0,180.0
W_INHMMP,0.1,M_C,180.0,210.0
W_SRHLZD,0.1,M_C,210.0,240.0
W_ADUQER,0.1,M_C,240.0,300.0
W_HGSNAM,0.1,M_C,300.0,360.0
W_VOCUZK,0.5,M_D,0,30.0
W_GZMILE,0.5,M_D,30.0,60.0
W_BTYZBI,0.5,M_D,60.0,90.0
W_YFYHWC,0.5,M_D,90.0,120.0
W_ZAGNOV,0.5,M_D,120.0,180.0
W_BNXXBL,0.5,M_D,180.0,240.0
W_BTYWSX,0.5,M_D,240.0,300.0
W_SQPEBK,0.1,M_D,300.0,330.0
W_JVMVIL,0.1,M_D,330.0,390.0
W_ODEHXA,1.0,M_E,0,60.0
W_BEXCHN,0.5,M_E,60.0,120.0
W_PYYSBB,0.5,M_E,120.0,180.0
W_PDIILU,0.5,M_E,180.0,240.0
W_UAXDVR,0.5,M_E,240.0,300.0
W_FAEJVO,0.5,M_E,300.0,360.0
W_HTJPTT,0.5,M_E,360.0,420.0
W_WZFWAN,0.5,M_E,420.0,480.0
W_HRZBDA,0.1,M_E,480.0,540.0
W_DEUKIT,0.1,M_E,540.0,600.0
W_CWONYK,0.1,M_E,600.0,660.0
W_EPRWLV,0.1,M_E,660.0,720.0
W_SFQCWR,0.1,M_E,720.0,780.0
W_BNODLJ,0.1,M_E,780.0,840.0
W_UQRDDR,0.5,M_F,0,30.0
W_NRUNKX,0.5,M_F,30.0,60.0
W_ENKGMX,0.5,M_F,60.0,90.0
W_HSPLJY,0.5,M_F,90.0,120.0
W_OJJXJA,0.1,M_F,120.0,150.0
W_YRTZEE,0.1,M_F,150.0,180.0
W_MNRJMP,0.1,M_F,180.0,210.0
W_WYPRND,0.1,M_F,210.0,240.0
W_QSWZPI,0.1,M_F,240.0,270.0
W_QCJUOG,0.1,M_F,270.0,300.0
W_MXPTGK,0.1,M_F,300.0,330.0
W_NCZSJF,0.1,M_F,330.0,360.0
W_ANDGFF,0.5,M_G,0,120.0
W_QDWZYA,0.5,M_G,120.0,240.0
W_YVBXYW,0.5,M_G,240.0,360.0
W_YDVDGM,0.5,M_G,360.0,480.0
W_BUQPXZ,0.5,M_G,480.0,600.0
W_JLEFGD,0.5,M_G,600.0,720.0
W_RTPMPU,0.1,M_G,720.0,840.0
W_UGMUQW,0.1,M_G,840.0,960.0
W_XHFADI,0.1,M_G,960.0,1080.0
W_LMIOLW,0.1,M_G,1080.0,1200.0
W_QGLOES,1.0,M_H,0,30.0
W_XBDHUC,0.5,M_H,30.0,60.0
W_BEZUDP,0.5,M_H,60.0,90.0
W_SPGKXA,0.5,M_H,90.0,120.0
W_DKSHJA,0.5,M_H,120.0,240.0
W_LPKKQH,0.5,M_H,240.0,360.0
W_QCOFIG,0.5,M_H,360.0,480.0
W_FGOUUG,0.1,M_H,480.0,510.0
W_SYHPPM,0.1,M_H,510.0,540.0
W_VJHLFD,0.1,M_H,540.0,660.0
W_LZFBUM,0.1,M_H,660.0,780.0
W_ONWAJO,0.5,M_I,0,30.0
W_XJFKMR,0.5,M_I,30.0,60.0
W_CYKTXW,0.1,M_I,60.0,90.0
W_TVWNYM,0.1,M_I,90.0,150.0
W_ZZXEQC,0.1,M_I,150.0,270.0
W_KZQUDG,0.1,M_I,270.0,390.0
W_THLGFU,1.0,M_J,0,60.0
W_XYVWLN,0.5,M_J,60.0,90.0
W_UJUCSM,0.5,M_J,90.0,150.0
W_KVCFDR,0.5,M_J,150.0,270.0
W_SUWDCT,0.5,M_J,270.0,390.0
W_XLWUAF,0.1,M_J,390.0,450.0
